,A14,A15,A6,A6-2,KS22,KS24,KS25,KS26,E1,E2,E3,E5,F6,F7,F9,F10,M5,M7,M8,M9,BS10,BS8,BSs6,BSs7,N1,N2,N3,N4,CE19,CE20,CE21,CE18,EAN10,EAN11,EAN12,EAN9,KC27,KC28,KC29,KC30,KN4,KN5,KN6,KN2,NA10,NA5,NA6,O5,O6,O7,O8,PA2,PA3,PA4,PA5,CD4,CD5,CD16,CD17,CB1,CB2,CB4,CB5,CG1,CG2,CG4,CG5,FA1,FA2,FA4,FA5,UAGB11,UAGM13,UAGW14,UAGW15,UAHB16,UAHB17,UAHB18,UAHB20,UHL13,UHL14,UH15,UH16,UT19,UT21,UTL22,UTL23,UF11,UF13,UF14,UF15,UQ25,UQ22,UQ23,UQ24,UR1,UR3,UR4,UR28,US16,US17,US20,US29
cg00125585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781878524,0.581567869,0.943244025,0.035937846,0.9391189440000001,0.5927563020000001,0.548405059,0.9469519359999999,0.101669052,0.514044536,0.549644906,0.9002592890000001,0.524825575,0.552130911,0.646823527,0.857828661,0.9275830159999999,0.810063867,0.947285078,0.535014705,0.89946222,0.9435101659999999,0.567710212,0.209493397,0.09979157400000001,0.040407,0.576934624,0.859740105,0.048634698,0.578513968,0.566838319,0.44458831200000004
cg00128517,0.448675763,0.875531752,0.558502295,0.381741879,0.410228258,0.490256058,0.08376027700000001,0.053378958,0.5153597129999999,0.4928187570000001,0.8712308329999999,0.94645694,0.107375714,0.873071653,0.87614378,0.522360969,0.945558498,0.583225995,0.879120366,0.156118583,0.434058621,0.497570787,0.100609376,0.935553403,0.8420162370000001,0.4653478,0.848379615,0.913005426,0.183428517,0.530318361,0.48231851,0.172794715,0.602947755,0.496464741,0.658053139,0.546143581,0.126804162,0.8482672929999999,0.909127619,0.056392476,0.936248876,0.291313559,0.8863831740000001,0.500643434,0.5443558239999999,0.6219029110000001,0.944401642,0.5130717020000001,0.223984266,0.430482356,0.316825848,0.489579369,0.4111960770000001,0.13217326699999998,0.434251262,0.94517858,0.068841713,0.455270665,0.867631824,0.100367989,0.309884901,0.903500843,0.4544840670000001,0.099985258,0.513391205,0.13348393,0.51692296,0.148254337,0.467675959,0.110896782,0.141605423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg00129883,0.476422181,0.448953798,0.239629323,0.04199488,0.778950065,0.043034642000000005,0.31249508,0.467659301,0.022219851,0.934044452,0.5518845410000001,0.342876029,0.409767382,0.086143654,0.064228064,0.319818471,0.358484724,0.611914816,0.400799313,0.414718439,0.018296509,0.487654988,0.903321305,0.322033005,0.4130775920000001,0.922948245,0.369908474,0.919156949,0.43713017,0.107069165,0.03351955,0.037050345,0.503412208,0.03585928,0.463592027,0.068534228,0.375822499,0.8060843870000001,0.179831325,0.8861987709999999,0.467786892,0.428504464,0.410169955,0.806741322,0.8870660370000001,0.389759533,0.530751593,0.437941294,0.8050742340000001,0.392161225,0.5799551510000001,0.917497405,0.8850115740000001,0.462306499,0.419966845,0.580023866,0.182420677,0.469012913,0.423924644,0.336555723,0.024283549,0.496779242,0.4569023,0.473273289,0.419548381,0.902652156,0.871311738,0.899817173,0.048898581,0.426098513,0.07197279599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg00133116,0.93972124,0.447900816,0.540221561,0.022794738,0.8966118609999999,0.041880781,0.476556214,0.929080599,0.871874803,0.8378778929999999,0.390736736,0.871427045,0.42517383,0.33909985600000003,0.160170716,0.51627009,0.498521663,0.416530067,0.096051464,0.787016617,0.49476924,0.7109868,0.784088769,0.766281013,0.72350214,0.403134736,0.503580954,0.909450906,0.50598836,0.7212502209999999,0.899958107,0.923139575,0.061082661,0.026156823,0.084449426,0.80153441,0.7656756990000001,0.107925573,0.4914775320000001,0.390931798,0.5356742320000001,0.822113751,0.864202372,0.845906415,0.555288698,0.844587125,0.84759189,0.491196533,0.300435739,0.90543305,0.497479021,0.869613796,0.071249315,0.872043655,0.8645896909999999,0.116068017,0.403053905,0.565315947,0.021455586,0.93022756,0.471207032,0.48713828,0.454048576,0.034118709,0.8913435759999999,0.936081281,0.499157817,0.56039028,0.883114889,0.949441175,0.482190604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg00153041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.400665526,0.662440162,0.069613642,0.6715182040000001,0.7839989509999999,0.51937928,0.745640741,0.550289409,0.127094661,0.18068778,0.7893463079999999,0.5740077029999999,0.135862541,0.40769664899999997,0.567347616,0.6688968129999999,0.064363088,0.822082949,0.568444451,0.7251204990000001,0.80186814,0.506830051,0.561264242,0.775475577,0.5633176910000001,0.080061415,0.105648639,0.609738656,0.062710847,0.5662713779999999,0.531212744,0.8733269509999999
cg00156723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5036691529999999,0.915521238,0.550338425,0.035381916,0.748088005,0.937350259,0.738879287,0.519976571,0.872406597,0.92608539,0.682530155,0.873248227,0.530666679,0.545073391,0.546941433,0.280389449,0.533464528,0.861403686,0.524560171,0.425048288,0.460468279,0.47444826,0.8558420179999999,0.476596445,0.871596562,0.288120017,0.8357747809999999,0.051729604000000005,0.140480459,0.491523686,0.7250691440000001,0.187183789
cg00165853,0.032709625,0.502074282,0.829410647,0.7893675609999999,0.917994142,0.5123964679999999,0.934412135,0.945333933,0.94678675,0.948928715,0.04305874,0.4672010720000001,0.4702234970000001,0.907112828,0.935897586,0.355871769,0.532778242,0.486426833,0.463702233,0.099481387,0.375579023,0.5114153770000001,0.484813662,0.5302713729999999,0.567073994,0.380930098,0.031443735,0.817605591,0.08228842,0.911296175,0.940243646,0.515774152,0.483397915,0.5254832779999999,0.448205932,0.469597781,0.8736747090000001,0.491765539,0.914824626,0.940393286,0.942403062,0.911158905,0.513576179,0.8888874,0.6145017070000001,0.022012108,0.514494102,0.494509976,0.035556622,0.571142819,0.035832915,0.465971334,0.903897645,0.064754466,0.898719015,0.032037365,0.032482346,0.904816779,0.037662062,0.935558037,0.460698108,0.939430833,0.474501269,0.513668925,0.5363464370000001,0.942845542,0.038871223,0.530220508,0.483249939,0.514806279,0.934431373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg00169205,0.424020763,0.105077199,0.858990134,0.842997883,0.896518728,0.06302774,0.436673516,0.488654243,0.8702155999999999,0.93787889,0.465075635,0.110771479,0.521389949,0.270169046,0.571248832,0.182884607,0.7374205770000001,0.871487448,0.197443558,0.818830224,0.8319879459999999,0.179881355,0.566559191,0.049473645,0.469524608,0.052361558,0.073109877,0.860819103,0.12617013300000002,0.463950432,0.894410142,0.867349684,0.7716888359999999,0.8343887259999999,0.864338087,0.073279369,0.053946567,0.476409445,0.450314717,0.455968758,0.485755061,0.502613687,0.8548477790000001,0.6425866610000001,0.912870102,0.588125975,0.903459189,0.056723731,0.509647449,0.895568576,0.874459236,0.564670265,0.5250827920000001,0.738269049,0.5162278570000001,0.06887333799999999,0.522987503,0.050591607,0.908650864,0.63756329,0.896515002,0.87847404,0.816803348,0.8998819709999999,0.454924861,0.516117876,0.874445481,0.812451198,0.532375379,0.512095844,0.096959943,0.16395320000000002,0.49769336200000003,0.06276066,0.078094247,0.647609943,0.543558515,0.452475965,0.7214944440000001,0.89250483,0.475050145,0.838814453,0.5134712770000001,0.9165462659999999,0.5266251820000001,0.473735384,0.425052718,0.349748135,0.06259861,0.73564771,0.631254756,0.383417967,0.584489904,0.797646975,0.530091322,0.22355076699999998,0.177036174,0.316433872,0.568024314,0.071383481,0.210628665,0.053593819,0.608024154
cg00195689,0.032639178,0.265999066,0.518558285,0.5687321870000001,0.465498405,0.493759767,0.046609632000000005,0.4614155,0.934726822,0.940716226,0.47248133,0.923936388,0.942150712,0.906023718,0.492945341,0.900290473,0.521058878,0.5443027810000001,0.043852957000000005,0.049338042,0.926344403,0.39535597,0.07547902599999999,0.926166805,0.701638647,0.85281462,0.934021168,0.483873998,0.939859016,0.939958082,0.936163463,0.942186392,0.903066913,0.878980546,0.535870359,0.507186171,0.8561846209999999,0.912909642,0.481952927,0.485246423,0.522089974,0.920625482,0.5021436420000001,0.138903844,0.033378107000000004,0.212085534,0.807368317,0.039389577,0.031954385,0.381519968,0.880748157,0.905422419,0.405155706,0.562782992,0.934344065,0.911078696,0.449482045,0.025026942000000003,0.035269586,0.922060611,0.52427416,0.781128347,0.937711091,0.513750079,0.936783037,0.551711466,0.468162613,0.590494808,0.96411336,0.24730128,0.632159369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg00196200,0.555359661,0.94982882,0.568336438,0.904314381,0.045927429000000006,0.327802783,0.291376764,0.156759703,0.444895517,0.066482633,0.942448162,0.586485147,0.542231892,0.650476715,0.579617329,0.940565574,0.575089674,0.099594953,0.569418431,0.848525842,0.945748269,0.6656018779999999,0.599942549,0.920464823,0.936735896,0.931383504,0.03130519,0.536733433,0.956241269,0.047655067,0.07228641200000001,0.065493716,0.096965326,0.581631077,0.369173678,0.136674057,0.063546836,0.542091404,0.02908269,0.549820633,0.06113807900000001,0.584014399,0.563177344,0.6076052270000001,0.5927610170000001,0.606640045,0.903040319,0.276997094,0.93467576,0.567799324,0.514353601,0.07375258,0.178652743,0.13413733,0.07808634099999999,0.940325682,0.564433537,0.550911089,0.049206144,0.633211764,0.043261913,0.529307866,0.025430554,0.509175568,0.044274118,0.08406664800000001,0.130259355,0.029480355,0.062170286,0.415876266,0.14060633,0.579023615,0.93011453,0.073755468,0.585228952,0.546162446,0.08764628099999999,0.230109912,0.44451878,0.600875378,0.439468819,0.314242413,0.9191420579999999,0.621267212,0.6772483220000001,0.534360341,0.734157175,0.136515735,0.581801849,0.552959305,0.585107674,0.122357138,0.564736867,0.868103493,0.9082157679999999,0.435059504,0.956277833,0.616718392,0.921591727,0.9318943190000001,0.338248111,0.820278705,0.4265401
cg00220235,0.415997771,0.03042971,0.870723915,0.596517752,0.907453736,0.424346536,0.039761378,0.41271506,0.8920295429999999,0.525530041,0.944138397,0.910530734,0.021855711,0.846340425,0.47021062,0.401419914,0.214261977,0.058832725,0.859737374,0.81045221,0.03011791,0.482768617,0.750411297,0.130523518,0.30999904300000003,0.893177275,0.062318506,0.543601413,0.557959431,0.437557998,0.446594524,0.63164615,0.8956620059999999,0.37728524,0.921784014,0.6914425009999999,0.502970955,0.8974810540000001,0.430654414,0.446011195,0.926966667,0.919659247,0.921586521,0.543058836,0.213189886,0.203708731,0.937156773,0.919083786,0.02762735,0.485407718,0.469803563,0.042299800000000005,0.919356968,0.463460012,0.883254243,0.029678212,0.914763233,0.018706059,0.023027121,0.49940929,0.344919659,0.493631624,0.471212138,0.488078724,0.056935618,0.051775799,0.500598391,0.343429593,0.5160656920000001,0.543176168,0.869865435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg00222963,0.098950191,0.025790534,0.023587569,0.5030161360000001,0.927893629,0.041259017,0.946707299,0.630104242,0.932741347,0.954761388,0.5927821289999999,0.480145821,0.557476681,0.081685414,0.174304135,0.960802382,0.95846328,0.384636846,0.486648334,0.7287780759999999,0.021012493,0.494260735,0.5090633760000001,0.5097610779999999,0.024049831,0.448356193,0.024019913,0.066736092,0.041760856,0.063931006,0.9535908,0.508824732,0.4875324070000001,0.919113058,0.584973666,0.097310201,0.955532626,0.505929594,0.021538529,0.5797429470000001,0.949249503,0.519452415,0.943234072,0.496155843,0.33944034100000003,0.359905012,0.953758723,0.520779201,0.961720825,0.48419141,0.03042517,0.021276027000000003,0.935835787,0.488439714,0.495164846,0.581038655,0.951561053,0.614857549,0.023455215,0.463922401,0.452250455,0.948709988,0.475037739,0.945670252,0.6419073000000001,0.947424114,0.948447442,0.949393583,0.572338658,0.957754981,0.026514988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg00262446,0.054620527,0.377554931,0.438250868,0.499936482,0.589534575,0.05010427,0.520017308,0.8821459,0.52219077,0.907865841,0.602561466,0.049458063,0.608105848,0.455083353,0.909417945,0.624235373,0.910691815,0.900976614,0.053601422,0.530354157,0.061976461,0.121987027,0.571092968,0.5485216270000001,0.913462764,0.519314856,0.477976991,0.676848553,0.487793077,0.898149293,0.036934275,0.57711612,0.493387176,0.035553412,0.495653594,0.858090795,0.525895576,0.029034277,0.52348936,0.496219768,0.453085467,0.03724157,0.501711005,0.902947549,0.503931672,0.664464122,0.592019054,0.506968121,0.564705129,0.52063838,0.039650968,0.04032886,0.46227233,0.041581449,0.477424339,0.524324216,0.059930948,0.543908698,0.038811087,0.4735786970000001,0.488056117,0.921568033,0.037924146,0.898008919,0.038863696,0.924672529,0.918995033,0.596724673,0.603960253,0.047881177,0.89227529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg00268322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459555265,0.050536178,0.320980057,0.549217916,0.531795699,0.6397737029999999,0.021883301,0.041977201,0.47971666700000004,0.8977752370000001,0.6935208070000001,0.435507452,0.9155594570000001,0.550443834,0.412189374,0.397383475,0.587531427,0.754702016,0.39031062899999996,0.824688265,0.373765575,0.436884485,0.019808198,0.566163057,0.913596905,0.041847737,0.13217442599999998,0.513169266,0.073531103,0.738121692,0.9296724890000001,0.312212045
cg00269670,0.053463718,0.949346766,0.50792879,0.545241045,0.88557063,0.038507824,0.7528432970000001,0.445300203,0.934008581,0.942802218,0.5687875029999999,0.561334317,0.952110541,0.068828439,0.934421046,0.378108321,0.106989844,0.93453874,0.942208606,0.048472322000000005,0.067058617,0.174836925,0.030998228,0.5450695529999999,0.533519648,0.942131197,0.491475998,0.943086074,0.481582167,0.601023286,0.13483767800000002,0.931029198,0.901779597,0.525241461,0.488139011,0.8786147870000001,0.506064507,0.854913384,0.086434245,0.462049918,0.93730602,0.915336811,0.90823792,0.930519989,0.051392093,0.463805173,0.45123686,0.923170269,0.8322050240000001,0.031268653,0.479927001,0.910946361,0.042547906,0.8823265929999999,0.871540553,0.03573975,0.561055722,0.519500275,0.503934145,0.926762884,0.8991251309999999,0.935351773,0.469441729,0.927741956,0.923803749,0.921412753,0.8897211309999999,0.906973056,0.903097575,0.951453992,0.945159202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg00272317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5565858929999999,0.444887099,0.766921222,0.024524649,0.517227756,0.028691843999999998,0.6517335479999999,0.603616749,0.519994119,0.038031363,0.563690321,0.9168592609999999,0.025125022,0.03276963,0.029304422000000007,0.283413784,0.946029703,0.5163478979999999,0.523851221,0.033560501,0.430096583,0.9248603790000001,0.507299767,0.052092675,0.49206858,0.46586848,0.940094925,0.018462133999999998,0.9155917170000001,0.024911298,0.06609347,0.185663579
cg00277502,0.045921378,0.5219886420000001,0.599597975,0.293809605,0.871992942,0.579674935,0.902867115,0.551851268,0.940144426,0.561738666,0.050278183,0.057340918,0.695106722,0.06019551400000001,0.050634135,0.551563816,0.588897648,0.7806160809999999,0.653827106,0.251020748,0.16016723,0.626753508,0.902566571,0.6220738570000001,0.538904943,0.669414278,0.044237888,0.590246575,0.91210522,0.626174392,0.492923525,0.551268781,0.621983536,0.898134775,0.519821533,0.546345686,0.514330737,0.611116694,0.037088548,0.056014799,0.497061466,0.919449266,0.929834174,0.120213303,0.066211904,0.811689014,0.06966692299999999,0.560950904,0.562568301,0.5957172310000001,0.5249835,0.8995698520000001,0.609817272,0.541576305,0.538070261,0.603818046,0.72940912,0.107694807,0.062076745,0.613985574,0.5841239,0.635071362,0.577141021,0.917794935,0.912389475,0.528166393,0.919089765,0.544762464,0.540476926,0.603733217,0.920276397,0.582466695,0.458726065,0.590106276,0.578773832,0.530525253,0.891049932,0.07330880099999999,0.8245142679999999,0.433573246,0.772838955,0.8965410859999999,0.592090672,0.616303919,0.511781061,0.164723866,0.457592185,0.25700064,0.8123941659999999,0.069598151,0.19567232399999998,0.17615202300000002,0.519595179,0.081668983,0.11267282199999999,0.120439549,0.46133300299999996,0.103111127,0.048247399,0.08512063,0.44293398,0.522974144,0.36469996
