,A14,A15,A6,A6-2,KS22,KS24,KS25,KS26,E1,E2,E3,E5,F6,F7,F9,F10,M5,M7,M8,M9,BS10,BS8,BSs6,BSs7,N1,N2,N3,N4,CE19,CE20,CE21,CE18,EAN10,EAN11,EAN12,EAN9,KC27,KC28,KC29,KC30,KN4,KN5,KN6,KN2,NA10,NA5,NA6,O5,O6,O7,O8,PA2,PA3,PA4,PA5,CD4,CD5,CD16,CD17,CB1,CB2,CB4,CB5,CG1,CG2,CG4,CG5,FA1,FA2,FA4,FA5
cg00129883,0.476422181,0.44895379799999996,0.239629323,0.04199488,0.778950065,0.043034642000000005,0.31249508,0.467659301,0.022219851000000002,0.9340444520000001,0.5518845410000001,0.34287602899999997,0.409767382,0.086143654,0.064228064,0.319818471,0.358484724,0.611914816,0.400799313,0.414718439,0.018296509,0.48765498799999996,0.903321305,0.322033005,0.41307759200000005,0.922948245,0.369908474,0.9191569490000001,0.43713017,0.107069165,0.03351955,0.037050345,0.503412208,0.03585928,0.463592027,0.068534228,0.375822499,0.8060843870000001,0.179831325,0.8861987709999999,0.467786892,0.428504464,0.410169955,0.806741322,0.8870660370000001,0.389759533,0.530751593,0.437941294,0.8050742340000001,0.392161225,0.5799551510000001,0.917497405,0.8850115740000001,0.462306499,0.419966845,0.580023866,0.182420677,0.469012913,0.42392464399999996,0.336555723,0.024283548999999998,0.496779242,0.45690230000000004,0.473273289,0.419548381,0.9026521559999999,0.871311738,0.899817173,0.048898580999999997,0.42609851299999996,0.07197279599999999
cg00133116,0.93972124,0.44790081600000003,0.540221561,0.022794738,0.8966118609999999,0.041880781,0.476556214,0.9290805990000001,0.871874803,0.8378778929999999,0.39073673600000003,0.871427045,0.42517383,0.33909985600000003,0.160170716,0.51627009,0.49852166299999995,0.416530067,0.096051464,0.787016617,0.49476924,0.7109868,0.784088769,0.766281013,0.72350214,0.403134736,0.503580954,0.9094509059999999,0.50598836,0.7212502209999999,0.899958107,0.923139575,0.061082660999999996,0.026156823,0.084449426,0.80153441,0.7656756990000001,0.10792557300000001,0.49147753200000005,0.390931798,0.5356742320000001,0.822113751,0.864202372,0.845906415,0.555288698,0.844587125,0.84759189,0.491196533,0.300435739,0.90543305,0.497479021,0.869613796,0.071249315,0.872043655,0.8645896909999999,0.116068017,0.403053905,0.565315947,0.021455586000000002,0.93022756,0.471207032,0.48713828,0.45404857600000004,0.034118709,0.8913435759999999,0.936081281,0.499157817,0.56039028,0.883114889,0.949441175,0.48219060399999997
cg00165853,0.032709625,0.502074282,0.829410647,0.7893675609999999,0.9179941420000001,0.5123964679999999,0.934412135,0.945333933,0.94678675,0.948928715,0.04305874,0.46720107200000005,0.47022349700000005,0.9071128279999999,0.935897586,0.355871769,0.532778242,0.48642683299999995,0.46370223299999996,0.09948138699999999,0.37557902299999996,0.5114153770000001,0.48481366200000003,0.5302713729999999,0.567073994,0.380930098,0.031443735,0.817605591,0.08228842,0.911296175,0.940243646,0.515774152,0.483397915,0.5254832779999999,0.44820593200000003,0.469597781,0.8736747090000001,0.491765539,0.9148246259999999,0.9403932859999999,0.942403062,0.911158905,0.513576179,0.8888874,0.6145017070000001,0.022012108,0.514494102,0.494509976,0.035556622,0.571142819,0.035832915,0.46597133399999996,0.903897645,0.064754466,0.898719015,0.032037365,0.032482346,0.904816779,0.037662062,0.9355580370000001,0.460698108,0.939430833,0.474501269,0.513668925,0.5363464370000001,0.942845542,0.038871222999999996,0.530220508,0.48324993899999996,0.514806279,0.934431373
cg00169205,0.42402076299999997,0.10507719900000001,0.858990134,0.842997883,0.896518728,0.06302774,0.43667351600000004,0.488654243,0.8702155999999999,0.93787889,0.465075635,0.110771479,0.521389949,0.270169046,0.571248832,0.182884607,0.7374205770000001,0.871487448,0.19744355800000002,0.818830224,0.8319879459999999,0.179881355,0.566559191,0.049473645,0.46952460799999995,0.052361557999999996,0.073109877,0.860819103,0.12617013300000002,0.463950432,0.894410142,0.867349684,0.7716888359999999,0.8343887259999999,0.864338087,0.073279369,0.053946567,0.476409445,0.45031471700000003,0.455968758,0.485755061,0.502613687,0.8548477790000001,0.6425866610000001,0.9128701020000001,0.588125975,0.9034591890000001,0.056723731,0.509647449,0.895568576,0.874459236,0.564670265,0.5250827920000001,0.738269049,0.5162278570000001,0.06887333799999999,0.522987503,0.050591607000000004,0.9086508640000001,0.63756329,0.896515002,0.87847404,0.816803348,0.8998819709999999,0.454924861,0.516117876,0.874445481,0.812451198,0.532375379,0.512095844,0.096959943
cg00195689,0.032639178,0.265999066,0.518558285,0.5687321870000001,0.465498405,0.493759767,0.046609632000000005,0.4614155,0.934726822,0.9407162259999999,0.47248133,0.923936388,0.942150712,0.9060237179999999,0.49294534100000004,0.900290473,0.521058878,0.5443027810000001,0.043852957000000005,0.049338042,0.926344403,0.39535597,0.07547902599999999,0.926166805,0.701638647,0.85281462,0.934021168,0.48387399799999997,0.939859016,0.9399580820000001,0.936163463,0.942186392,0.903066913,0.878980546,0.535870359,0.507186171,0.8561846209999999,0.912909642,0.48195292700000003,0.485246423,0.522089974,0.920625482,0.5021436420000001,0.138903844,0.033378107000000004,0.212085534,0.807368317,0.039389577,0.031954385,0.381519968,0.880748157,0.9054224190000001,0.405155706,0.562782992,0.934344065,0.9110786959999999,0.449482045,0.025026942000000003,0.035269586,0.9220606109999999,0.52427416,0.781128347,0.9377110909999999,0.513750079,0.936783037,0.551711466,0.46816261299999995,0.590494808,0.96411336,0.24730128,0.632159369
cg00196200,0.555359661,0.94982882,0.568336438,0.904314381,0.045927429000000006,0.327802783,0.291376764,0.156759703,0.444895517,0.066482633,0.942448162,0.586485147,0.542231892,0.650476715,0.579617329,0.9405655740000001,0.575089674,0.09959495300000001,0.569418431,0.848525842,0.9457482690000001,0.6656018779999999,0.599942549,0.920464823,0.936735896,0.931383504,0.03130519,0.536733433,0.9562412690000001,0.047655067,0.07228641200000001,0.065493716,0.09696532599999999,0.581631077,0.36917367799999995,0.136674057,0.063546836,0.542091404,0.02908269,0.549820633,0.061138079000000005,0.584014399,0.563177344,0.6076052270000001,0.5927610170000001,0.606640045,0.903040319,0.276997094,0.93467576,0.567799324,0.514353601,0.07375258,0.178652743,0.13413733,0.07808634099999999,0.940325682,0.564433537,0.550911089,0.049206144,0.633211764,0.043261913,0.529307866,0.025430553999999998,0.509175568,0.044274118,0.08406664800000001,0.130259355,0.029480355,0.062170286,0.415876266,0.14060633
cg00220235,0.415997771,0.03042971,0.870723915,0.596517752,0.9074537359999999,0.424346536,0.039761378,0.41271506,0.8920295429999999,0.525530041,0.944138397,0.9105307340000001,0.021855711,0.846340425,0.47021062,0.401419914,0.214261977,0.058832725,0.859737374,0.81045221,0.03011791,0.482768617,0.750411297,0.130523518,0.30999904300000003,0.893177275,0.062318505999999996,0.543601413,0.557959431,0.43755799799999995,0.446594524,0.63164615,0.8956620059999999,0.37728524,0.9217840140000001,0.6914425009999999,0.502970955,0.8974810540000001,0.430654414,0.446011195,0.9269666670000001,0.919659247,0.9215865209999999,0.543058836,0.21318988600000002,0.203708731,0.937156773,0.919083786,0.02762735,0.485407718,0.469803563,0.042299800000000005,0.919356968,0.46346001200000003,0.883254243,0.029678212000000002,0.914763233,0.018706059,0.023027121,0.49940929,0.344919659,0.493631624,0.47121213799999995,0.48807872399999996,0.056935618,0.051775799000000004,0.500598391,0.343429593,0.5160656920000001,0.543176168,0.869865435
cg00222963,0.09895019099999999,0.025790534,0.023587569,0.5030161360000001,0.927893629,0.041259017,0.9467072990000001,0.630104242,0.932741347,0.954761388,0.5927821289999999,0.48014582100000003,0.557476681,0.081685414,0.174304135,0.960802382,0.95846328,0.38463684600000003,0.48664833399999996,0.7287780759999999,0.021012492999999997,0.494260735,0.5090633760000001,0.5097610779999999,0.024049831,0.44835619299999996,0.024019912999999997,0.066736092,0.041760856,0.063931006,0.9535908000000001,0.508824732,0.48753240700000006,0.919113058,0.584973666,0.097310201,0.9555326259999999,0.505929594,0.021538529,0.5797429470000001,0.949249503,0.519452415,0.943234072,0.496155843,0.33944034100000003,0.359905012,0.953758723,0.520779201,0.961720825,0.48419141,0.03042517,0.021276027000000003,0.935835787,0.48843971399999997,0.495164846,0.581038655,0.9515610529999999,0.614857549,0.023455215,0.46392240100000004,0.452250455,0.948709988,0.47503773899999996,0.945670252,0.6419073000000001,0.947424114,0.9484474420000001,0.949393583,0.572338658,0.9577549809999999,0.026514988
cg00262446,0.054620527,0.37755493100000004,0.43825086799999996,0.499936482,0.589534575,0.05010427,0.520017308,0.8821459,0.52219077,0.9078658409999999,0.602561466,0.049458063,0.608105848,0.45508335299999997,0.909417945,0.624235373,0.910691815,0.9009766140000001,0.053601422,0.530354157,0.061976461,0.121987027,0.571092968,0.5485216270000001,0.913462764,0.519314856,0.477976991,0.676848553,0.487793077,0.898149293,0.036934275,0.57711612,0.49338717600000004,0.035553412,0.495653594,0.858090795,0.525895576,0.029034277,0.52348936,0.49621976799999995,0.453085467,0.03724157,0.501711005,0.9029475490000001,0.503931672,0.664464122,0.592019054,0.506968121,0.564705129,0.52063838,0.039650967999999995,0.04032886,0.46227233,0.041581449,0.477424339,0.524324216,0.059930948,0.543908698,0.038811087,0.47357869700000005,0.488056117,0.921568033,0.037924146,0.898008919,0.038863696,0.9246725290000001,0.918995033,0.596724673,0.603960253,0.047881177000000004,0.89227529
cg00269670,0.053463718,0.9493467659999999,0.50792879,0.545241045,0.88557063,0.038507823999999996,0.7528432970000001,0.44530020299999995,0.934008581,0.942802218,0.5687875029999999,0.561334317,0.9521105409999999,0.068828439,0.934421046,0.378108321,0.106989844,0.93453874,0.9422086059999999,0.048472322000000005,0.067058617,0.174836925,0.030998228,0.5450695529999999,0.533519648,0.942131197,0.49147599799999997,0.9430860740000001,0.481582167,0.601023286,0.13483767800000002,0.931029198,0.901779597,0.525241461,0.488139011,0.8786147870000001,0.506064507,0.854913384,0.086434245,0.46204991799999995,0.93730602,0.915336811,0.90823792,0.9305199890000001,0.051392093,0.46380517299999996,0.45123686,0.9231702690000001,0.8322050240000001,0.031268653,0.479927001,0.9109463609999999,0.042547905999999996,0.8823265929999999,0.871540553,0.03573975,0.561055722,0.519500275,0.503934145,0.9267628840000001,0.8991251309999999,0.9353517729999999,0.469441729,0.927741956,0.9238037490000001,0.9214127529999999,0.8897211309999999,0.9069730559999999,0.903097575,0.951453992,0.945159202
cg00277502,0.045921378,0.5219886420000001,0.599597975,0.293809605,0.871992942,0.579674935,0.902867115,0.551851268,0.9401444259999999,0.561738666,0.050278183,0.057340918,0.695106722,0.060195514000000006,0.050634135,0.551563816,0.588897648,0.7806160809999999,0.653827106,0.251020748,0.16016723,0.626753508,0.9025665709999999,0.6220738570000001,0.538904943,0.669414278,0.044237887999999996,0.590246575,0.91210522,0.626174392,0.492923525,0.551268781,0.621983536,0.898134775,0.519821533,0.546345686,0.514330737,0.611116694,0.037088548,0.056014799000000004,0.497061466,0.919449266,0.929834174,0.12021330300000001,0.066211904,0.811689014,0.06966692299999999,0.560950904,0.562568301,0.5957172310000001,0.5249835,0.8995698520000001,0.609817272,0.541576305,0.538070261,0.603818046,0.72940912,0.10769480699999999,0.062076745,0.613985574,0.5841239,0.635071362,0.577141021,0.917794935,0.912389475,0.528166393,0.919089765,0.544762464,0.540476926,0.603733217,0.9202763970000001
cg00282706,0.037040961000000004,0.930823478,0.516444065,0.492034724,0.877308513,0.13702101,0.5506411170000001,0.5175478920000001,0.823086975,0.910761785,0.886264437,0.922351954,0.060675715,0.49878374299999995,0.176179605,0.510505516,0.7688826740000001,0.9359814259999999,0.580167736,0.6670309329999999,0.866524072,0.09906641,0.872367027,0.472416094,0.575613811,0.91791616,0.035827983,0.860167679,0.93882757,0.5471049410000001,0.9108356120000001,0.5474239870000001,0.846116621,0.504255026,0.510686671,0.8514154740000001,0.43316048799999995,0.5322809279999999,0.568429703,0.51639366,0.35632574,0.515885179,0.897935742,0.49848306600000003,0.8839915140000001,0.628440841,0.056885801,0.032901078,0.87490437,0.542440261,0.8703169140000001,0.8776999259999999,0.059836417999999995,0.886220221,0.8420506390000001,0.915590089,0.044616289,0.9210974190000001,0.555767331,0.671144379,0.9113158579999999,0.9198182970000001,0.550162139,0.522101054,0.878884379,0.9290291070000001,0.908601856,0.582488455,0.636188656,0.937522775,0.546905694
cg00325209,0.934323955,0.8434408840000001,0.942404039,0.92703238,0.030070827999999997,0.058025775,0.373877535,0.88950628,0.870650677,0.026123336,0.034920157,0.5811394520000001,0.833904207,0.119458485,0.611929094,0.350953168,0.044914632999999995,0.61237287,0.039544494,0.361576285,0.42554907799999997,0.129986777,0.891963768,0.92070968,0.938910977,0.938184166,0.636821244,0.512652966,0.922200032,0.49522074899999996,0.032699855,0.9387631740000001,0.030842895,0.494632732,0.806992884,0.034840822,0.026230497000000002,0.912695371,0.537969241,0.9160575790000001,0.532529751,0.488706804,0.512107706,0.521345574,0.601529184,0.036874948,0.614781327,0.439877025,0.533393173,0.938487917,0.02868396,0.46170916100000003,0.918274147,0.111041788,0.038466755,0.495785439,0.029555839,0.576594636,0.54815242,0.932443025,0.671056201,0.927289515,0.953393989,0.542138062,0.625780674,0.482251773,0.45928895299999994,0.528746493,0.332243983,0.9267327479999999,0.083747245
cg00326505,0.437291959,0.852798582,0.48898343,0.5013647520000001,0.931870132,0.040274014,0.029344122,0.928341167,0.47113994600000003,0.048343675,0.44053473299999996,0.043971142000000005,0.9495920729999999,0.068408896,0.479179779,0.054835135,0.020758894,0.9147529790000001,0.44270745799999994,0.8970154440000001,0.902062826,0.14460405,0.88955851,0.406108935,0.47626410799999996,0.541598647,0.5331841079999999,0.031657397999999996,0.494812918,0.934020298,0.481188711,0.474971546,0.463933297,0.118742744,0.49086566299999995,0.492991387,0.9079845209999999,0.023119268,0.9202850929999999,0.024523013,0.507606472,0.8387098059999999,0.92027977,0.495766441,0.8985928059999999,0.944017925,0.57579168,0.47378451200000005,0.919593213,0.49268457,0.9314496990000001,0.041980473,0.459937826,0.47036932299999995,0.106941095,0.030416517,0.47365247200000005,0.5101864389999999,0.037475676,0.873458788,0.46388224,0.518880424,0.531981302,0.032335478,0.40839865399999997,0.493282546,0.45957817799999995,0.47252892,0.03609137,0.935005025,0.929607955
cg00337187,0.352151689,0.446443782,0.069051106,0.22362297899999997,0.173986755,0.102639941,0.066999615,0.804936911,0.558435893,0.54378976,0.906086796,0.926244318,0.946418045,0.467515766,0.890969406,0.448212344,0.060255499000000004,0.124350526,0.07971315,0.6860630120000001,0.940485068,0.907970196,0.422341002,0.651445452,0.944253365,0.197307755,0.459702595,0.448629205,0.962077724,0.501950702,0.898340886,0.568574536,0.7280035429999999,0.827045813,0.8759858909999999,0.956185726,0.5512081670000001,0.45954936700000004,0.43858578299999995,0.394973135,0.9534322129999999,0.905608593,0.559858063,0.250009318,0.840377739,0.450994742,0.446223749,0.071649173,0.947500764,0.42823154,0.9470886470000001,0.073150761,0.8351313770000001,0.9291824320000001,0.447376089,0.19461530800000001,0.083446937,0.048965721,0.46276258600000003,0.874911723,0.5685896770000001,0.398363569,0.9694382570000001,0.469261838,0.513797517,0.054527818,0.132413584,0.585454891,0.49762159999999994,0.370029172,0.602351697
cg00354437,0.91891752,0.902240403,0.11761381800000001,0.598215756,0.058706987,0.025778262000000003,0.021431521000000002,0.5140728379999999,0.89022018,0.50795036,0.585611185,0.5290440670000001,0.433933684,0.547654602,0.952910974,0.934946354,0.041896863,0.554768219,0.920517665,0.42805319399999997,0.36101661399999996,0.524441716,0.5258511579999999,0.5422591179999999,0.495765501,0.936928441,0.488983522,0.035214741,0.9350730709999999,0.043129019000000005,0.931699045,0.936572266,0.038196439,0.492783042,0.555624632,0.526480802,0.803932285,0.45384529100000004,0.042401315999999994,0.490498913,0.039439401,0.557292418,0.499976669,0.501741511,0.869868436,0.602895536,0.920691823,0.904014202,0.916558564,0.02517624,0.033058982,0.046174023,0.512861353,0.197738957,0.498316362,0.6360133579999999,0.032471442999999996,0.5716925629999999,0.538373103,0.487889358,0.9405049740000001,0.5493779999999999,0.925858851,0.055838066,0.02737949,0.040122862,0.44565130799999997,0.488653571,0.898296023,0.526392903,0.512993325
cg00367281,0.13350004199999999,0.405152488,0.925167002,0.24053282899999998,0.539771248,0.084082426,0.849116068,0.134287779,0.468302263,0.939988798,0.873561974,0.430549206,0.571657039,0.478038911,0.434722685,0.959177122,0.5611743370000001,0.652162393,0.5091987410000001,0.374608449,0.077734292,0.46869753299999994,0.133762106,0.568728026,0.5192718620000001,0.564375277,0.032058456,0.589869461,0.617012389,0.08935170199999999,0.13521397300000002,0.9441756379999999,0.549837802,0.9213157820000001,0.608582648,0.912154795,0.551477781,0.09240337300000001,0.9098958340000001,0.506747363,0.6734063490000001,0.9423179890000001,0.52999891,0.488546645,0.38470704299999997,0.45859484799999994,0.075678555,0.5945326879999999,0.520997921,0.109115788,0.689738148,0.9380966390000001,0.911809085,0.45468271200000004,0.8658333020000001,0.48110280299999997,0.9366873290000001,0.614807228,0.176919685,0.9396609429999999,0.7115303270000001,0.9437105140000001,0.488165206,0.9248275109999999,0.91054355,0.945780107,0.899319887,0.911635489,0.43529923600000003,0.889876786,0.578854078
