,UAGB11,UAGM13,UAGW14,UAGW15,UAHB16,UAHB17,UAHB18,UAHB20,UHL13,UHL14,UH15,UH16,UT19,UT21,UTL22,UTL23,UF11,UF13,UF14,UF15,UQ25,UQ22,UQ23,UQ24,UR1,UR3,UR4,UR28,US16,US17,US20,US29
cg00277502,0.582466695,0.458726065,0.590106276,0.578773832,0.530525253,0.891049932,0.07330880099999999,0.8245142679999999,0.433573246,0.772838955,0.8965410859999999,0.592090672,0.616303919,0.511781061,0.164723866,0.457592185,0.25700064,0.8123941659999999,0.069598151,0.195672324,0.17615202300000002,0.519595179,0.081668983,0.112672822,0.120439549,0.461333003,0.103111127,0.048247399,0.08512063,0.44293398,0.522974144,0.36469996
cg00292336,0.8471614279999999,0.5302746660000001,0.915547847,0.467380529,0.323064167,0.5592579870000001,0.413466598,0.458529763,0.727538328,0.528312847,0.4343907420000001,0.876276617,0.060526385,0.6669689,0.892803867,0.579371108,0.585889733,0.92885103,0.5056125770000001,0.516011332,0.44765917,0.941152158,0.928540166,0.916271384,0.519575734,0.416551301,0.139040303,0.5136885379999999,0.079331413,0.293994983,0.53004305,0.858680298
cg00295654,0.833667789,0.579495338,0.659997747,0.557402446,0.40715157,0.276981633,0.643765027,0.512544782,0.7915700940000001,0.849386876,0.488508939,0.592562209,0.899629034,0.5722416370000001,0.836846633,0.7259500409999999,0.919634101,0.613349343,0.14304766300000002,0.654576095,0.553852821,0.884864179,0.336489717,0.438744254,0.523692496,0.7596174109999999,0.764760627,0.200822612,0.574123381,0.730695526,0.15636435699999998,0.443904296
cg00325209,0.515464748,0.099768153,0.291281351,0.916095688,0.944045606,0.039266561,0.078339006,0.768037383,0.55295848,0.920748141,0.915511561,0.490213347,0.555254503,0.527620318,0.23816588,0.64970306,0.479789478,0.901366078,0.467294549,0.460900286,0.484199549,0.479623504,0.489436105,0.87059656,0.598917161,0.032428865,0.8822707959999999,0.490700885,0.6386110629999999,0.554046084,0.938906872,0.866215926
cg00326505,0.610062094,0.496709466,0.938368388,0.046394118,0.440186364,0.500331919,0.467020127,0.504773865,0.471164116,0.459056153,0.087106406,0.497350518,0.064215779,0.923564883,0.073899997,0.509288229,0.94398248,0.03455053,0.515747792,0.509831157,0.484459905,0.505122234,0.938203058,0.568250527,0.425985989,0.037944574,0.498495652,0.467567851,0.372187327,0.492935809,0.462520343,0.181371985
cg00334177,0.483839619,0.461076005,0.338793047,0.949867613,0.858669178,0.914549349,0.8351258490000001,0.934148246,0.354119563,0.042254709,0.36573218,0.217729332,0.534325212,0.5323009439999999,0.925132748,0.670916297,0.93939756,0.923899437,0.942258327,0.673925275,0.8917879190000001,0.435859116,0.235608764,0.430650176,0.053084261,0.944006483,0.114806946,0.412290299,0.493601669,0.829430069,0.610830533,0.145014259
cg00339726,0.647373686,0.649006976,0.320712936,0.056612313,0.883015077,0.34472822200000003,0.60489083,0.35907468299999995,0.88386848,0.8654790590000001,0.312503283,0.569352108,0.878544092,0.489259374,0.897430675,0.912477745,0.708704296,0.10785245,0.440781998,0.326309258,0.199208283,0.469639761,0.320189689,0.444278152,0.7300965509999999,0.5746480070000001,0.870131482,0.089466205,0.4707123070000001,0.441333343,0.589283585,0.711529502
cg00343981,0.495226138,0.515715026,0.542164977,0.49034266,0.30957149,0.555681665,0.624184127,0.932885852,0.376560045,0.46646112,0.409435226,0.384386788,0.908621996,0.877578637,0.5710124670000001,0.508523295,0.551819442,0.151418247,0.300693794,0.551228307,0.072599071,0.558829806,0.57368048,0.8329037220000001,0.500811765,0.913912645,0.08929752199999999,0.759073587,0.052636623,0.07083313200000001,0.91076661,0.04386246
cg00354437,0.53667581,0.476468083,0.569349742,0.023818742,0.468910088,0.552480387,0.33780361299999995,0.520936849,0.189827673,0.6033964629999999,0.413155127,0.581497142,0.867578333,0.443010469,0.484710887,0.400772006,0.841199558,0.51561196,0.929474893,0.926033398,0.7684194940000001,0.940842047,0.194715397,0.925109168,0.09029843,0.7984946759999999,0.076845263,0.89502785,0.522430293,0.502301846,0.62046161,0.503451076
cg00413030,0.7813309420000001,0.4339293320000001,0.386732344,0.470703997,0.951847448,0.332549132,0.401924942,0.388301125,0.568114685,0.112930105,0.843528479,0.5672349489999999,0.905077073,0.154713193,0.437750146,0.626619666,0.492659934,0.816541553,0.8867138609999999,0.909206663,0.783760061,0.752440867,0.7525035309999999,0.20180555,0.591571781,0.065529253,0.496392922,0.488467458,0.8434939640000001,0.8424478740000001,0.817650166,0.24304128100000005
cg00423453,0.529370922,0.507358485,0.901169058,0.040875275,0.276158162,0.920524626,0.496016371,0.46231387,0.449992744,0.878581415,0.479377276,0.939472294,0.4869892,0.919112792,0.163194525,0.368947165,0.864406055,0.447792733,0.021201067,0.49235619,0.418788557,0.87188987,0.860540875,0.150060535,0.923606715,0.46669801,0.929681216,0.436064066,0.757395024,0.837227583,0.032794559,0.472222273
cg00471673,0.943450944,0.625811472,0.5439202470000001,0.940800483,0.559166275,0.733504323,0.355233051,0.548016451,0.818020583,0.5567775460000001,0.86365325,0.910970356,0.538902879,0.380569016,0.109177423,0.768845032,0.507915997,0.535564649,0.043101555,0.040827253,0.434102721,0.539572199,0.177384426,0.794974098,0.92823435,0.254240485,0.912037765,0.136385659,0.526229756,0.591996045,0.533520981,0.508950693
cg00529067,0.929814227,0.91573383,0.555710951,0.5509001170000001,0.959482993,0.083734085,0.328037,0.4117521,0.45355822,0.902392888,0.512790831,0.922680709,0.569752977,0.304076016,0.099642934,0.665577604,0.933749879,0.476593026,0.885185989,0.638233134,0.375055485,0.51280865,0.616056781,0.780322375,0.877531017,0.02610454,0.423624411,0.210713445,0.482900594,0.058219358,0.8401813220000001,0.56759954
cg00538354,0.644188487,0.62980497,0.548667197,0.945961349,0.63375186,0.941576609,0.601002729,0.936437864,0.15452995,0.067622315,0.227082439,0.161660948,0.618424752,0.621808625,0.08529497400000001,0.564463845,0.040186621,0.536456997,0.560896886,0.6092698529999999,0.072100082,0.588911007,0.555500675,0.084366526,0.716497169,0.56023546,0.3396842370000001,0.060789212,0.863962055,0.228788065,0.178543415,0.593799055
cg00539733,0.924534836,0.181855705,0.452303792,0.069911901,0.283608146,0.641156626,0.528085618,0.317991173,0.5317929,0.478061588,0.636081554,0.521001576,0.047692839,0.1125365,0.457090335,0.412466972,0.89846797,0.511159615,0.061903187,0.6352942429999999,0.440631232,0.404849201,0.501793895,0.531177585,0.913641612,0.453194234,0.417229803,0.097338677,0.190215837,0.041222287,0.449576364,0.8599003959999999
cg00549855,0.138896342,0.385147133,0.48000839,0.88514958,0.906648711,0.446698725,0.253198989,0.128493928,0.503331095,0.7712612259999999,0.7358685090000001,0.883021886,0.23242615100000005,0.32270725100000003,0.45217665,0.729924833,0.46659439,0.424817635,0.8188781709999999,0.287513232,0.350630014,0.8461826729999999,0.427113883,0.45493291,0.810254824,0.470218749,0.5221533070000001,0.057738674,0.857053715,0.35014632799999995,0.091693354,0.527625282
cg00562070,0.07607973400000001,0.8265885409999999,0.7447889440000001,0.892585738,0.540924425,0.903257775,0.508859477,0.48380006,0.149732027,0.416134719,0.790293096,0.180642039,0.820630286,0.520725343,0.41808815,0.528517855,0.856254972,0.498651403,0.14938126599999998,0.406692602,0.268663987,0.079482568,0.8146104940000001,0.173451739,0.525849373,0.471070394,0.828657531,0.521921477,0.439254581,0.052818041,0.449036191,0.903966708
cg00618503,0.939283382,0.462965805,0.356915148,0.484448517,0.562584102,0.447600845,0.204956131,0.383175668,0.7521024070000001,0.89769427,0.899591257,0.5597955729999999,0.517546402,0.117460524,0.099198818,0.757900412,0.488851854,0.755408709,0.468698661,0.406787394,0.808454178,0.805873973,0.766620482,0.4159303620000001,0.039868152,0.023358114,0.501183741,0.455630679,0.415762165,0.299289497,0.036294058,0.546223322
cg00659686,0.055115105,0.470307858,0.308698201,0.021502864,0.793551542,0.525348745,0.297254304,0.437730582,0.380375268,0.87993667,0.4237201,0.447821061,0.894593965,0.375726363,0.6732050479999999,0.6491793570000001,0.829330955,0.3971125820000001,0.3683436570000001,0.46180137,0.4456279,0.8952762609999999,0.344897678,0.268804369,0.378336233,0.444730264,0.710536762,0.370632999,0.840329068,0.175345513,0.280722166,0.3799102620000001
cg00683788,0.416776448,0.592871001,0.080900047,0.056403455,0.409825191,0.7979262020000001,0.698033342,0.60662502,0.152944153,0.633350505,0.17280171600000002,0.283165473,0.6298508420000001,0.182347939,0.149243424,0.625407057,0.7137478509999999,0.612155408,0.421830555,0.749239085,0.5944196660000001,0.692150279,0.030993219,0.7020535640000001,0.70892245,0.511962986,0.100948208,0.448196188,0.058035491,0.441388492,0.261045866,0.01755749
cg00688591,0.135735618,0.633568469,0.48272651,0.91994196,0.135208343,0.755321795,0.949934318,0.631560515,0.591655344,0.053341923,0.53586506,0.092869573,0.07649961,0.201299734,0.5574845279999999,0.543934881,0.211706488,0.101848054,0.715053006,0.4628444820000001,0.547676562,0.784468508,0.88870093,0.556017157,0.529826645,0.571969219,0.040833362000000005,0.16079359699999998,0.090254453,0.928772045,0.456885904,0.601140397
cg00718959,0.340149071,0.780744708,0.13120499300000002,0.515146523,0.758438115,0.520047377,0.490652385,0.599652041,0.20694419,0.163701717,0.380302321,0.34529532700000004,0.202706709,0.473788216,0.408135344,0.541956345,0.487247583,0.503030706,0.902363825,0.657367782,0.6909241540000001,0.250963944,0.875347648,0.8589241329999999,0.07063186099999999,0.26407362,0.44673891,0.877755195,0.096585847,0.487390835,0.522939385,0.825204901
cg00719768,0.489595905,0.934815713,0.937517437,0.074901467,0.049952703,0.060601733,0.213735915,0.60808823,0.938172522,0.033522845,0.648282684,0.56606957,0.049539534,0.834476197,0.5455427660000001,0.483695531,0.6312721139999999,0.044293499000000014,0.582041823,0.343086025,0.616946339,0.379944984,0.545069925,0.05422105,0.6727859409999999,0.928846341,0.063995648,0.567495791,0.077871745,0.19495039600000005,0.608049967,0.046106625
cg00736201,0.126276148,0.453259702,0.299099905,0.416082843,0.518361666,0.44852508,0.079961021,0.180784057,0.772857369,0.480757691,0.809156435,0.546888821,0.895453985,0.500935997,0.559300175,0.555310749,0.7205739959999999,0.420757543,0.153291793,0.241390058,0.444571596,0.781183155,0.295635157,0.439936295,0.815017917,0.08879170300000001,0.90055878,0.452265723,0.483321714,0.109673847,0.107264728,0.792363275
cg00770861,0.904176056,0.5677630810000001,0.724084752,0.486880835,0.916048748,0.488514179,0.7023743290000001,0.404259745,0.444146255,0.902494934,0.349717716,0.66001529,0.861566495,0.05698824900000001,0.7802742290000001,0.790922982,0.45308701,0.436246741,0.455051676,0.724310528,0.229405976,0.059111618,0.04582302,0.7629414059999999,0.073363713,0.394895195,0.5215693060000001,0.027457896,0.563317803,0.227591393,0.080535628,0.373785732
cg00783306,0.055168633,0.088666976,0.042204987,0.41455415,0.759833425,0.542609559,0.346404867,0.467855429,0.56671213,0.053841617,0.107420972,0.8665019079999999,0.382583847,0.467121737,0.832844868,0.662825648,0.88425148,0.515545182,0.483004764,0.501441013,0.417794207,0.133780127,0.497923632,0.797795212,0.316481679,0.067479329,0.302702155,0.81056899,0.436523696,0.36616955,0.071547049,0.433732057
cg00820621,0.057810565,0.932884272,0.062941851,0.930824151,0.713135429,0.513438483,0.590348764,0.553963588,0.914517869,0.90659249,0.194634372,0.662059434,0.422280156,0.780760522,0.106393366,0.378863254,0.659803536,0.931925056,0.573816504,0.915345187,0.556063536,0.563151195,0.509075307,0.53800727,0.640090631,0.041422887,0.495162804,0.511385905,0.559520181,0.899752377,0.386632564,0.923183844
cg00842000,0.530331468,0.5488003370000001,0.590578795,0.565755636,0.8393366879999999,0.904496517,0.456669005,0.951103463,0.605639574,0.866356509,0.610799195,0.50982151,0.920853311,0.200115379,0.888165238,0.53517522,0.528112178,0.570842618,0.565172628,0.639291886,0.693195296,0.52907307,0.050323631,0.562123443,0.08282452,0.100900074,0.6459114229999999,0.036371395,0.905039895,0.577392661,0.8488180059999999,0.025375226
cg00851732,0.535390707,0.8466997159999999,0.541638008,0.535175964,0.640627939,0.671784774,0.7227012140000001,0.046886103,0.078731065,0.049724784,0.503319999,0.681578288,0.157298586,0.574496427,0.5271363729999999,0.493607012,0.468995152,0.564262386,0.035273356,0.585114803,0.651803284,0.570524041,0.8705776609999999,0.12432164,0.854509365,0.519192764,0.042354087,0.047333745,0.094817888,0.073161127,0.112451256,0.062048028
cg01025072,0.629957167,0.593142407,0.590995184,0.583654673,0.947284363,0.05549722,0.034344962,0.460865714,0.903852618,0.494020651,0.923502462,0.918944812,0.469600438,0.549493744,0.524466976,0.680144471,0.494965254,0.889392877,0.487032359,0.120546228,0.384565306,0.041623762,0.913385713,0.55934092,0.925371938,0.27522488,0.905310572,0.909346677,0.505118498,0.034475236,0.448974597,0.50988625
cg01064356,0.933372477,0.069056047,0.479769743,0.935679219,0.042796057,0.065868367,0.678231829,0.047544592,0.8772759040000001,0.541899011,0.903826576,0.535843894,0.923805463,0.60985272,0.253230472,0.525379806,0.88638069,0.915070085,0.927148784,0.031506106,0.160965318,0.038047288,0.032927368,0.147648208,0.945199976,0.034431724,0.8831038520000001,0.030654056,0.5008459989999999,0.592336246,0.452492308,0.900846813
cg01066438,0.525793808,0.379413911,0.424711412,0.932410658,0.78864447,0.934764299,0.076119817,0.549439758,0.48487772,0.642916113,0.768213782,0.918274387,0.924744184,0.5949367170000001,0.227034366,0.7092016,0.905601394,0.8641432840000001,0.517099126,0.569635303,0.533072815,0.254906053,0.519510747,0.682577201,0.377701778,0.115969379,0.911044934,0.473218861,0.200230273,0.298366891,0.215700935,0.526145739
cg01077654,0.81832478,0.076345295,0.803148546,0.5675154020000001,0.062489751,0.645636034,0.16314963400000002,0.600601948,0.468334619,0.472805678,0.30928919,0.08701272,0.101140364,0.500550811,0.631707264,0.789506693,0.664044069,0.618244115,0.5722821220000001,0.30124423,0.151929966,0.551200174,0.8250212459999999,0.123162722,0.323001341,0.431727398,0.7227117909999999,0.631929096,0.590343291,0.554684245,0.498968211,0.385526785
cg01091660,0.063148629,0.8724642459999999,0.588251195,0.553108533,0.483709089,0.143585338,0.293253625,0.316910221,0.474325046,0.858523941,0.583464467,0.825740065,0.456655043,0.790035597,0.436999754,0.462729143,0.542110127,0.862900577,0.451035355,0.434948123,0.52039455,0.47955112,0.42600036,0.152552357,0.836705716,0.258387089,0.920644869,0.063318088,0.462762989,0.537209093,0.788165096,0.452826334
cg01119439,0.918337745,0.454706022,0.945782414,0.527311462,0.574945327,0.499822451,0.148651944,0.587542916,0.661575207,0.132169173,0.719603615,0.667551954,0.064646261,0.8603194759999999,0.232645336,0.477598561,0.928702724,0.472222167,0.071481683,0.8761590029999999,0.431788242,0.467903361,0.895143428,0.627010925,0.964035881,0.932991598,0.51401046,0.500704031,0.434240873,0.8873977540000001,0.931378666,0.7645928129999999
cg01223600,0.56256596,0.04555179,0.791909283,0.5769616129999999,0.6456863310000001,0.8968382779999999,0.668106529,0.518341478,0.226460483,0.393017126,0.049716012,0.583356936,0.32091431800000003,0.626751717,0.86100441,0.502630968,0.171489009,0.914871129,0.559602568,0.057726624,0.517636903,0.928887396,0.529297544,0.880233968,0.665085633,0.521193944,0.431677057,0.789942595,0.050620001,0.783679555,0.7645854390000001,0.476821736
cg01223741,0.41173883,0.8964759109999999,0.661662479,0.940278132,0.8411625540000001,0.934543173,0.813129757,0.888617221,0.785822903,0.4800566,0.7227517459999999,0.8478989159999999,0.897774273,0.544487945,0.515087402,0.67577199,0.528872267,0.08264771,0.486181165,0.911426624,0.168058765,0.486194733,0.473432043,0.451258308,0.065962336,0.880118055,0.025192148,0.418428168,0.470105806,0.046769354000000006,0.524482975,0.777455103
cg01274252,0.595088017,0.113771363,0.374136694,0.506953505,0.382816958,0.564129725,0.06794022400000001,0.387258366,0.779901066,0.526075101,0.526297175,0.511900637,0.5683985229999999,0.133500882,0.7543776179999999,0.474722629,0.024971567000000004,0.780645475,0.423030631,0.219310492,0.31705517,0.846398378,0.033016007,0.714197002,0.425184355,0.055330345,0.493499389,0.039292312,0.034885362,0.06203692,0.399881291,0.702601287
cg01275848,0.071951881,0.7353805459999999,0.069034974,0.047940416,0.803345522,0.270754801,0.375223943,0.584821924,0.813416584,0.833461163,0.457498575,0.253324947,0.065021717,0.6610910010000001,0.603398409,0.41507631,0.16737517400000002,0.258912599,0.134410361,0.222432584,0.362657327,0.050274604,0.370547472,0.42724473,0.941156462,0.031055526,0.117468243,0.7941351409999999,0.81793528,0.732260609,0.13657111800000002,0.667669135
cg01309221,0.465680413,0.095791076,0.19385217,0.036542124,0.361886543,0.178890103,0.216403556,0.5548731720000001,0.592982398,0.913569868,0.620819389,0.899471384,0.036846415,0.13537427400000002,0.564361923,0.8951086009999999,0.453101268,0.918836628,0.66413989,0.6639294139999999,0.837569685,0.457792178,0.822393,0.345656919,0.942949323,0.918154327,0.480381735,0.037289563,0.467741181,0.037609535,0.395056823,0.29108391100000003
cg01337842,0.506354249,0.049491282,0.046178728,0.02637753,0.35589695600000004,0.06380665099999999,0.34248005600000003,0.12638186199999998,0.49531262,0.8138516370000001,0.527697911,0.537692786,0.900668219,0.36121628,0.579335045,0.578568755,0.49177662,0.450612266,0.482898034,0.191171005,0.5355908079999999,0.893795934,0.526554205,0.86259679,0.932053949,0.6897116870000001,0.16191196900000002,0.020159874,0.56140702,0.8998505290000001,0.425216929,0.712094329
cg01409434,0.6374649410000001,0.926648765,0.760322761,0.672822092,0.945694933,0.082308439,0.486510951,0.34739629200000005,0.551493019,0.81739939,0.857711577,0.895696887,0.908015601,0.864459415,0.878828286,0.73588923,0.909729631,0.150348518,0.921437378,0.69886118,0.484701604,0.519399636,0.170613605,0.855283915,0.597816117,0.333716901,0.560552513,0.042094885,0.616111989,0.062413763,0.095196842,0.75291442
cg01481265,0.5388696789999999,0.531419822,0.543336206,0.488953864,0.921513394,0.073529811,0.119795862,0.884119055,0.8904890209999999,0.854954648,0.493524072,0.062693152,0.06018942,0.809358085,0.503327967,0.701358542,0.532641166,0.027828678,0.054105000999999986,0.6111786929999999,0.380263492,0.480800431,0.877624319,0.517214209,0.506762953,0.502742116,0.571395119,0.4788328,0.54106082,0.7976907320000001,0.46096796,0.6893210209999999
cg01487683,0.541705985,0.589928828,0.559180276,0.5319876729999999,0.691154513,0.529946743,0.50726503,0.424417849,0.536509,0.212986091,0.580453389,0.577443976,0.552250365,0.7719657590000001,0.8877336240000001,0.6884282909999999,0.145399158,0.643868276,0.331507454,0.884300691,0.16829393399999998,0.554723259,0.910038918,0.5368195579999999,0.502778214,0.060136069,0.947089276,0.066625598,0.744618181,0.141394284,0.084319739,0.148491864
cg01495509,0.597169725,0.6743249309999999,0.63536494,0.049753963,0.371476553,0.814527762,0.8626877940000001,0.8340141120000001,0.512380429,0.828565607,0.455837778,0.484277592,0.357181456,0.39034933,0.226277271,0.596801961,0.369484603,0.683859366,0.860997971,0.541869715,0.7325634940000001,0.435957649,0.869945284,0.786285453,0.916094723,0.274858073,0.876485572,0.05827580900000001,0.122999078,0.501024616,0.461520462,0.5383424170000001
cg01497368,0.475571504,0.8244745459999999,0.491137974,0.548151843,0.5635432539999999,0.559256079,0.233285931,0.497592073,0.922976666,0.8187137720000001,0.454324802,0.438527824,0.054064793,0.06449657,0.060182018,0.073252992,0.715795124,0.797515037,0.7966841290000001,0.371008928,0.859507767,0.155710535,0.878059143,0.524927053,0.927273868,0.324284084,0.811730307,0.08434186699999999,0.789669829,0.720105482,0.460057663,0.773303427
cg01530984,0.629271832,0.513915052,0.7093348209999999,0.878812035,0.941492398,0.911713077,0.08931705,0.488010561,0.523463369,0.433789569,0.588514571,0.914595651,0.170116348,0.451819711,0.811934322,0.674974923,0.539136096,0.086601999,0.104188134,0.7783946279999999,0.267568083,0.499216496,0.914465557,0.933779365,0.493064933,0.473130702,0.946048843,0.849105599,0.5520955160000001,0.481949775,0.376660066,0.491574444
cg01560052,0.094631206,0.173448716,0.375232724,0.038964891,0.93214811,0.384759974,0.469698591,0.272015931,0.74018305,0.412950083,0.827907892,0.330001239,0.17845487899999998,0.38993294,0.565431098,0.57817941,0.187858783,0.373493248,0.564113137,0.522844329,0.683783197,0.241635476,0.487784839,0.452162282,0.7441303709999999,0.703835098,0.855848574,0.269316944,0.486184819,0.730062546,0.484460037,0.849788903
cg01574473,0.912934326,0.562705142,0.862747493,0.886612608,0.443030301,0.769088827,0.165862877,0.220188863,0.529897545,0.441417667,0.791191471,0.531365495,0.506922997,0.8640125879999999,0.225175746,0.408270325,0.822157165,0.849980972,0.406136356,0.24542824,0.813678695,0.181542066,0.56914131,0.7829637290000001,0.471065679,0.261445453,0.452722584,0.80654288,0.441535897,0.341646823,0.288395982,0.517125615
cg01614426,0.517254718,0.097439361,0.5375050929999999,0.539632008,0.6987073359999999,0.171596853,0.4227935470000001,0.5232302120000001,0.7843150870000001,0.517299544,0.562644535,0.540836581,0.945145635,0.224298675,0.486051723,0.648686519,0.528484683,0.461270339,0.8777159390000001,0.660010474,0.547491407,0.865238814,0.239296421,0.226056832,0.941421825,0.421126203,0.47564155,0.202427166,0.499186364,0.614129753,0.459471663,0.674873595
cg01643511,0.920327762,0.037847333,0.7893895740000001,0.040441626,0.65432813,0.921966981,0.166779499,0.277649282,0.222523379,0.8311480090000001,0.5491050789999999,0.84312546,0.7388087640000001,0.669745647,0.437524053,0.199415057,0.388785886,0.092188003,0.492107278,0.697203905,0.6747498479999999,0.932521785,0.898313997,0.572481343,0.503966354,0.564652018,0.30999038100000004,0.441329885,0.882230003,0.19511561,0.617747266,0.533794289
cg01651285,0.098157505,0.893474917,0.08167053,0.5528718220000001,0.107637353,0.502368032,0.6054204910000001,0.100246848,0.488343749,0.92516825,0.907633933,0.888294536,0.922742883,0.479662386,0.523540797,0.686571747,0.918019739,0.919955625,0.90772557,0.8891748429999999,0.85416549,0.477562589,0.493589214,0.846756517,0.733048438,0.040517539,0.592388874,0.046815363,0.8639702709999999,0.483467325,0.073660133,0.897676322
cg01724831,0.868696694,0.055691298,0.047473648,0.601424724,0.858026485,0.603499141,0.276528273,0.7957251959999999,0.8025796390000001,0.626429828,0.230348518,0.653848936,0.593942272,0.767054571,0.720198737,0.831949905,0.889276218,0.065144615,0.061967417,0.773244342,0.117305768,0.5433142320000001,0.802966634,0.506043431,0.918514837,0.401583395,0.053417897,0.922621184,0.899196283,0.532570746,0.640322022,0.8714085840000001
cg01726498,0.344598843,0.8890844920000001,0.251439529,0.052994724000000014,0.960823398,0.07164108200000001,0.573594218,0.930418497,0.8956491679999999,0.855334011,0.916563618,0.8581946579999999,0.473489175,0.595563058,0.498315935,0.622048838,0.7956257729999999,0.085028214,0.365086288,0.069159217,0.367707938,0.550274728,0.808232501,0.765369362,0.383171788,0.739929727,0.431782364,0.07002080000000001,0.433230145,0.414901819,0.389902221,0.479192064
cg01731192,0.198338869,0.649368261,0.570590125,0.5019603420000001,0.072982804,0.765456466,0.573764514,0.5574089179999999,0.591223663,0.329032112,0.165062353,0.138117147,0.103453208,0.8203919009999999,0.182842637,0.683330309,0.73897313,0.08087180299999999,0.856600778,0.4168532820000001,0.510434442,0.209623891,0.231664625,0.752582978,0.661126258,0.405032145,0.53929721,0.558222355,0.096236846,0.4837904770000001,0.388833934,0.466685811
